Timestamp,Bprice,Date,Open
2019-06-26,11766,2019-06-26,7934
2019-06-27,12933,2019-06-27,7939
2019-06-28,11133,2019-06-28,7989
2019-07-01,10738,2019-07-01,8146
2019-07-02,10579,2019-07-02,8087
2019-07-03,10805,2019-07-03,8130
2019-07-05,11160,2019-07-05,8123
2019-07-08,11477,2019-07-08,8113
2019-07-09,12313,2019-07-09,8061
2019-07-10,12587,2019-07-10,8183
2019-07-11,12100,2019-07-11,8219
2019-07-12,11353,2019-07-12,8209
2019-07-15,10187,2019-07-15,8263
2019-07-16,10874,2019-07-16,8252
2019-07-17,9398,2019-07-17,8224
2019-07-18,9674,2019-07-18,8152
2019-07-19,10639,2019-07-19,8241
2019-07-22,10587,2019-07-22,8172
2019-07-23,10324,2019-07-23,8243
2019-07-24,9844,2019-07-24,8227
2019-07-25,9772,2019-07-25,8295
2019-07-26,9875,2019-07-26,8294
2019-07-29,9530,2019-07-29,8325
2019-07-30,9501,2019-07-30,8232
2019-07-31,9589,2019-07-31,8291
2019-08-01,10085,2019-08-01,8191
2019-08-02,10407,2019-08-02,8056
2019-08-05,10980,2019-08-05,7823
2019-08-06,11788,2019-08-06,7805
2019-08-07,11466,2019-08-07,7747
2019-08-08,11961,2019-08-08,7922
2019-08-09,11996,2019-08-09,7997
2019-08-12,11567,2019-08-12,7907
2019-08-13,11386,2019-08-13,7852
2019-08-14,10858,2019-08-14,7877
2019-08-15,10017,2019-08-15,7790
2019-08-16,10302,2019-08-16,7828
2019-08-19,10318,2019-08-19,8006
2019-08-20,10917,2019-08-20,7989
2019-08-21,10761,2019-08-21,8017
2019-08-22,10129,2019-08-22,8039
2019-08-23,10112,2019-08-23,7944
2019-08-26,10135,2019-08-26,7830
2019-08-27,10360,2019-08-27,7909
2019-08-28,10172,2019-08-28,7798
2019-08-29,9718,2019-08-29,7946
2019-08-30,9485,2019-08-30,8015
2019-09-03,10387,2019-09-03,7906
2019-09-04,10621,2019-09-04,7950
2019-09-05,10584,2019-09-05,8061
2019-09-06,10578,2019-09-06,8126
2019-09-09,10406,2019-09-09,8131
2019-09-10,10314,2019-09-10,8050
2019-09-11,10101,2019-09-11,8092
2019-09-12,10159,2019-09-12,8207
2019-09-13,10420,2019-09-13,8191
2019-09-16,10310,2019-09-16,8122
2019-09-17,10266,2019-09-17,8149
2019-09-18,10190,2019-09-18,8175
2019-09-19,10158,2019-09-19,8194
2019-09-20,10276,2019-09-20,8185
2019-09-23,10033,2019-09-23,8106
2019-09-24,9683,2019-09-24,8147
2019-09-25,8554,2019-09-25,7991
2019-09-26,8432,2019-09-26,8070
2019-09-27,8056,2019-09-27,8047
2019-09-30,8057,2019-09-30,7964
2019-10-01,8308,2019-10-01,8027
